pharmacy_id,name,address,latitude,longitude,source
ChIJkQkD9_0tzjERDzZHC1wnndc,9 NINE PHARMACY,"11, JALAN PKY 2, PUSAT KOMERSIL YAYASAN BULOH KASAP, Kampung Rasau, 85000 Segamat, Johor Darul Ta'zim, Malaysia",2.5486602,102.7942201,google_places
ChIJ2epH7-h52jERSi-8OuR1fL0,AEON Wellness AEON Kulaijaya,"Lot G79-W, Ground Floor, AEON KulaiJaya Shopping Mall, Persiaran Indahpura Utama, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6407484,103.618027,google_places
ChIJKbgKAvIV2jER3EZ4MJpy9L8,AL QANAAH PHARMACY (TAMAN AIR BIRU),"6, JALAN 9/9 PERJIRANAN 9, TAMAN PERINDUSTRIAN, Taman Air Biru, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.458195,103.912672,google_places
ChIJ2ejC8RtB2jERrQe98S9CWKY,AL QANAAH PHARMACY (TAMAN SCIENTEX),"30A, Jln Belatuk 4, Taman Scientex, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.5022139,103.9151895,google_places
ChIJd0T3Wvxn2jERRTlUvlLxpXI,AL QANAAH PHARMACY (TAMAN SRI SAUJANA),"6B, 8, Jln SS 2, Taman Sri Saujana, 81900 Kota Tinggi, Johor Darul Ta'zim, Malaysia",1.6707057,103.8509426,google_places
ChIJ3aRNXyd12jERqLHBi7WR1cQ,AL QANAAH PHARMACY PULAI MUTIARA,"No 47, Jalan Pulai Mutiara, 9/6, Taman Pulai Mutiara 2, 81300 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5315477,103.5820681,google_places
ChIJXbHHfwlr2jERcEcs4b9ZWyM,ALFA PHARMA Pharmacy (Farmasi ALFA PHARMA),"21, Jln Tembusu 1, Taman Rinting, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.4937333,103.8680932,google_places
ChIJ6QiHJvtLxTER2YxUHuuM6bE,ALSYIFAA FARMASI MERSING,"No 6, Jalan Sri Mersing 1, Pusat Perdagangan Sri Mersing, 86800 Mersing, Johor Darul Ta'zim, Malaysia",2.4391297,103.8332075,google_places
ChIJJ6ZlZu_TzzERYZ5SkgG-pAk,AMN Health Bandar Putra (Kedai Produk Kesihatan),"24, Jln Putra 1/5, Bandar Putra, 85000 Segamat District, Johor, Malaysia",2.4966506,102.8664551,google_places
ChIJH5qfmztt2jERxeOTiatM5xg,AZ Care Pharmacy - Permas Jaya,"12, Jalan Permas 10/7, Bandar Baru Permas Jaya, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.4961502999999998,103.8147703,google_places
ChIJWdWc5x3P0TERJTpuuVHortE,AcePro Pharmacy (B.Gambir),"134, Jln Gambir 6, Bandar Baru, 84800 Bukit Gambir, Johor Darul Ta'zim, Malaysia",2.2123927,102.6522026,google_places
ChIJE7Ux1KFs2jER8ZT90ia7VBg,Aeon Wellness Permas,"G9 AEON Permas Jaya Shopping Centre, No 1, Jalan Permas Utara, Permas Jaya, 81750 Johor Bahru, Johor, Malaysia",1.4954988,103.8189325,google_places
ChIJsQfLUgBr2jERMmZJiC5ylLk,Al Qanaah Pharmacy Seri Alam,"22, Jalan Lembah 16, Bandar Baru Seri Alam, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.5109311,103.8657364,google_places
ChIJR42JsaV32jERIHFZLfDboTU,Apotek,"Taman Muhibbah, 81400 Kulai, Johor, Malaysia",1.6218415,103.6236293,google_places
ChIJ2UtIUX152jERf2huf6TzqzQ,Axon Pharmacy Sdn Bhd,"1D, Jalan Raya, Taman Kulai Besar, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6604928,103.6047683,google_places
ChIJCaSSF31t0DERaenYUslYI-g,Azie Da House,"Jalan Ciku, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0387685,103.3209471,google_places
ChIJHW0FM1FB2jERCYltym6cO98,BM Pharmacy,"12A, Jln Belatuk 3, Taman Scientex, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.5007766,103.9154072,google_places
ChIJB-i3aj7TzzER3AfuMahF2Yo,Bahau Pharmacy Sdn Bhd,"37 & 38, Jalan Genuang, Bandar Seberang, 85000 Segamat, Johor Darul Ta'zim, Malaysia",2.5054593,102.8182822,google_places
ChIJw1hC8oFX0DERIJYWc_6SJ_4,Bijas Mediserve Pharmacy @ Jalan Sultanah,"118, Jalan Sultanah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.851218,102.9290013,google_places
