store_number,name,address,postcode,city,state,phone,latitude,longitude,has_pharmacy
1,PENANG PLAZA,"GROUND FLOOR,PENANG PLAZA,126 JLN BURMAH",10050,Pulau Pinang,Pulau Pinang,042282805,5.42138,100.325,false
2,KOMPLEKS PKNS SHAH ALAM,"GROUND FLOOR,KOMPLEKS PKNS",40000,Selangor,Selangor,03-5519 5392,3.07075,101.517,true
4,TAMAN TUN DR ISMAIL,"4 JALAN TUN MOHD FUAD DUA,TAMAN TUN DR ISMAIL",60000,Wil. Persekutuan,Kuala Lumpur,03-7729 8600,3.14049,101.629,false
8,KEPONG,"21 JALAN 54,DESA JAYA",52100,Wil. Persekutuan,Kuala Lumpur,03-6272 1104,3.21323,101.632,false
9,GUARDIAN AEON MALL TAMAN MALURI,"Lot T15, Third Floor, AEON Mall Taman Maluri, Jalan Jejaka, Maluri",55100,Wil. Persekutuan,Kuala Lumpur,0392867532,3.126829706636609,101.72794633121599,false
10,BANGSAR SHOPPING CENTRE,"Lot F10, Bangsar Shopping Centre, 285, Jalan Maarof, Taman Bukit Bandaraya",59000,Wil. Persekutuan,Kuala Lumpur,0320113642,3.14322,101.667,true
11,PLAZA PELANGI,"GROUND FLOOR, PLAZA PELANGI,2, JALAN KUNING,TAMAN PELANGI",80400,Johor,Johor,07-331 7721,1.47948,103.765,false
12,AEON MELAKA,"LOT F19, 1ST FLOOR,JUSCO MELAKA SHOPPING CENTRE,LEBOH AYER KEROH",75450,Melaka,Melaka,06-234 6297,2.23421,102.282,true
13,AEON WANGSA MAJU,"LOT F04, ALPHA ANGLE,JLN R1, SEKSYEN 1,BANDAR BARU WANGSA MAJU",53300,Wil. Persekutuan,Kuala Lumpur,03-4143 1402,3.20204,101.734,false
14,JALAN SULTAN,"123, JALAN SULTAN",50000,Wil. Persekutuan,Kuala Lumpur,03-2031 4013,3.14526,101.699,false
15,MAHKOTA PARADE,"G8, MAHKOTA PARADE,JALAN TAMAN",75000,Melaka,Melaka,06-282 9499,2.18855,102.25,true
16,"SS2,PJ","NO19, JALAN SS2/64,",47300,Selangor,Selangor,03-7877 6221,3.11869,101.62,false
17,IPOH PARADE,"G39A, IPOH PARADE,105, JALAN SULTAN ABDUL JALIL,GREENTOWN",30450,Perak,Perak,05-2432 563,4.59576,101.09,true
18,KELANA JAYA,"NO. 14, JALAN SS6/3,KELANA JAYA",47301,Selangor,Selangor,03-7804 6819,3.10506,101.6,false
19,CHERAS LEISURE MALL,"LOT LG 8&9, CHERAS LEISURE MALL,JALAN MANIS DUA,TAMAN SEGAR, CHERAS",56100,Wil. Persekutuan,Kuala Lumpur,03-9132 2468,3.09094,101.742,false
20,TAIPAN USJ,"14, JALAN USJ 10/1",47600,Selangor,Selangor,03-5632 9293,3.04792,101.585,true
22,1 UTAMA SHOPPING CENTRE,"LOT G143A,GF,1UTAMA SHOPPING CENTRE,NO. 1, LEBUH BANDAR UTAMA,BANDAR UTAMA",47800,Selangor,Selangor,0377261916,3.14899,101.616,true
24,SPECTRUM SHOPPING MALL,"LOT G03, GF, SPECTRUM SHOPPING MALL,JALAN WAWASAN AMPANG 4/2,BANDAR BARU AMPANG",68000,Selangor,Selangor,03-4270 0561,3.14616,101.765,false
25,SELAYANG MALL,"LG20-23,LG,SELAYANG MALL,JALAN SU 9,TAMAN SELAYANG UTAMA",68100,Selangor,Selangor,03-6136 6962,3.23733,101.644,false
26,AEON BUKIT RAJA,"F45&F46,1ST FLR,BKT RAJA SHOPNG CTR,PERSIARAN BUKIT RAJA 2,BANDAR BARU, KLANG",41150,Selangor,Selangor,03-3341 2353,3.06084,101.472,false
27,SEREMBAN TERMINAL 1,"LOT 1 TERMINAL 1 SHOPPING PLAZA,20-B JALAN LINTANG",70000,Negeri Sembilan,Negeri Sembilan,06-761 8495,2.7225,101.937,false
28,Guardian Angsana Mall Ipoh,"LOT G1 & G2, GROUND FLOOR,GREENTOWN SHOPPING MALL,JALAN HOSPITAL",30450,Perak,Perak,05-242 2363,4.60318,101.094,false
29,IOI MALL PUCHONG,"G31 & G32, GROUND FLOOR,IOI MALL, BANDAR PUCHONG JAYA,PUCHONG",47100,Selangor,Selangor,0358829000,3.04606,101.619,true
30,PLAZA METRO KAJANG,"LOT LG19-21, LOWER GROUND FLOOR,PLAZA METRO KAJANG, SECTION 7,JALAN TUN ABDUL AZIZ",43000,Selangor,Selangor,03-8734 4230,2.99118,101.789,false
32,GUARDIAN GIANT ULU KELANG,"LOT SG08&SG10,GIANT HYPERMARKET,LOT NO 13793 & 13796 JALAN CHANGKAT,TAMAN PERMATA",53300,Wil. Persekutuan,Kuala Lumpur,03-4101 2217,3.2076,101.751,false
33,CENTRAL SQUARE SG PETANI,"G35-G37, GROUND FLOOR,CENTRAL SQUARE,23, JALAN KG. BARU",8000,Kedah,Kedah,04-421 1153,5.63648,100.488,true
34,THE MINES SHOPPING FAIR,"LOT 1.30&1.36,THE MINES SHOPPING,JLN DULANG,THE MINES RESORT CITY",43300,Selangor,Selangor,03-8948 9892,3.02789,101.718,false
35,SUNWAY PYRAMID,"LG 2.06 Sunway Pyramid,,No 3, Jalan PJS 11/15, Bandar Sunway,,Subang Jaya",46150,Selangor,Selangor,0374928115,3.07325,101.607,true
36,KLIA SEPANG,"SAT C03,SATELLITE BUILDING,KLIA",43900,Selangor,Selangor,03-8787 2680,2.75414,101.705,false
37,SURIA KLCC,"LOT C21B CONCOURSE AREA,SURIA KLCC,KUALA LUMPUR CITY CENTRE",50088,Wil. Persekutuan,Kuala Lumpur,03-2382 0208,3.15727,101.712,true
39,SHAH ALAM MALL,"LG6,LOWER GR FLR,SHAH ALAM MALL,2 JLN TENGKU AMPUAN ZABEDAH E9/E,SEKSYEN 9",40100,Selangor,Selangor,03-5510 1525,3.08463,101.523,false
44,AMPANG POINT,"G07, GROUND FLOOR,AMPANG POINT SHOPPING CENTRE,JALAN MAMANDA 3",68000,Selangor,Selangor,03-4252 9697,3.15784,101.751,true
45,"GUARDIAN GIANT PLENTONG, JB","LOT B8-13, GIANT HYPERMARKET,JALAN MASAI LAMA,MUKIM PLENTONG",81750,Johor,Johor,073519630,1.52828,103.816,true
46,"SECTION 14, PJ","NO. 6B-1, JALAN 14/20,SECTION 14",46100,Selangor,Selangor,03-7958 8362,3.10959,101.636,false
48,BANGI UTAMA SHOPPING CENTRE,"L20,GF BANGI UTAMA SHOPPING COMPLEX,NO. 1, JALAN MEDAN BANGI,OFF PERSIARAN KEMAJUAN, SEKSYEN 6",43650,Selangor,Selangor,0389205820,2.9529101,101.7545638,true
49,DESA SRI HARTAMAS,"8 & 10, GROUND FLOOR,JALAN 24/70A,DESA SRI HARTAMAS",50480,Wil. Persekutuan,Kuala Lumpur,03-6201 1930,3.16351,101.651,true
50,"SECTION 8, PJ","LOT NO.15, GROUND FLOOR,JALAN 8/1E",46050,Selangor,Selangor,03-7960 4194,3.1002,101.641,false
51,SEA PARK,"41, JALAN 21/17,SEA PARK",46300,Selangor,Selangor,03-7876 0212,3.10997,101.622,false
52,TAMAN DANAU DESA,"7-0-10, JALAN 3/109F,TAMAN DANAU DESA",58100,Wil. Persekutuan,Kuala Lumpur,03-7987 0272,3.10003,101.687,false
53,PLAZA WAWASAN KOTA KINABALU,"NO 2-1-15B, LEVEL 1, GROUND FLOOR,PLAZA WAWASAN,LORONG PLAZA WAWASAN",88000,Sabah,Sabah,088-246 342,5.97343,116.068,false
54,GUARDIAN GIANT SENAWANG,"LOT NO B12-B14, GROUND FLOOR,GIANT HYPERMARKET SENAWANG,LOT 1571,JLN SENAWANG, MUKIM AMPANGAN",70450,Negeri Sembilan,Negeri Sembilan,0166791928,2.70203,101.985,true
55,KL SENTRAL,"LOT 1 & 2, LEVEL 1,KL SENTRAL TRAIN STATION",50470,Wil. Persekutuan,Kuala Lumpur,0322601102,3.13479,101.686,true
57,KOMPLEKS BUKIT JAMBUL,"3A-G-22B, KOMPLEKS BUKIT JAMBUL,JALAN RUMBIA",11900,Pulau Pinang,Pulau Pinang,04-642 1623,5.33409,100.291,false
58,JALAN BUKIT BINTANG,"LOT NO 89 & 91,JALAN BUKIT BINTANG",55100,Wil. Persekutuan,Kuala Lumpur,03-2145 7553,3.14568,101.71,false
59,GURNEY PLAZA,"NO. 170-B1-39, PLAZA GURNEY,PERSIARAN GURNEY",80250,Johor,Pulau Pinang,04-226 5016,5.43796,100.31,false
60,GUARDIAN GIANT STADIUM SHAH ALAM,"LOT NO. B10, B11 & B12,GIANT HYPERMARKET STADIUM SHAH ALAM,LOT 2, PERSIARAN SUKAN, SECTION 13",40100,Selangor,Selangor,0355119041,3.08401,101.549,true
61,GUARDIAN GIANT LEISURE MALL JOHOR,"GROUND FLOOR, PELANGI LEISURE MALL,NO. 148, JALAN SERAMPANG,TAMAN PELANGI",80400,Johor,Johor,07-334 9151,1.48374,103.774,false
62,"IOI MALL, KULAI","NO G-31/32/65/66 GROUND FLOOR,IOI MALL,LEBUH BANDAR UTAMA,BANDAR PUTRA",81000,Johor,Johor,075989453,1.64813,103.627,false
63,PLAZA ANGSANA,"LOT NO. L1.35, LEVEL 1,BANGUNAN PLAZA ANGSANA,PUSAT BANDAR TAMPOI",81200,Johor,Johor,07-236 6013,1.49626,103.707,false
64,"LUCKY GARDEN, BANGSAR","LOT NO. 42, GROUND FLOOR,PERSIARAN ARA KIRI,LUCKY GARDEN, BANGSAR",59100,Wil. Persekutuan,Kuala Lumpur,03-2094 8544,3.1282,101.669,false
65,"GUARDIAN GIANT TAMPOI, JB","LOT A7, GIANT HYPERMARKET TAMPOI,LOT 54, JALAN SKUDAI,TAMPOI",81200,Johor,Johor,07-238 4021,1.49905,103.7,false
66,AEON TAMAN UNIVERSITY,"UG01, UPPER GROUND FLOOR,TAMAN UNIVERSITY SHOPPING CENTRE,JLN PENDIDIKAN 1, TAMAN UNIVERSITY",81300,Johor,Johor,07-521 2418,1.54252,103.629,false
67,MID POINT PANDAN INDAH,"G15A, GROUND FLOOR,MID POINT SHOPPING CENTRE,JLN PANDAN INDAH, 1/25 PANDAN INDAH",55100,Wil. Persekutuan,Kuala Lumpur,03-9274 1258,3.13248,101.753,false
68,"PANDAN PERDANA, CHERAS","NO. 1, JALAN PANDAN PERDANA 4/5,PANDAN PERDANA",55300,Wil. Persekutuan,Kuala Lumpur,03-9282 1458,3.11967,101.743,false
69,GREAT EASTERN MALL,"LOT 3B, LOWER GROUND FLOOR,GREAT EASTERN MALL,NO. 303, JALAN AMPANG",50450,Wil. Persekutuan,Kuala Lumpur,03-4253 4508,3.16023,101.737,true
70,"DESA AMAN PURI, KEPONG","NO. 2-28A, GROUND FLOOR,JALAN DESA 1/1,DESA AMAN PURI",52100,Wil. Persekutuan,Kuala Lumpur,03-6274 5487,3.21103,101.616,false
71,SRI DAMANSARA,"NO. 13, JALAN TANJUNG SD 13/1,BANDAR SRI DAMANSARA",52200,Wil. Persekutuan,Kuala Lumpur,03-6274 6530,3.1884,101.605,false
72,"JLN BURHANUDDIN HELMI,TMN TUN","NO. 134, GROUND FLOOR,JALAN BURHANUDDIN HELMI,TMN TUN DR ISMAIL",60000,Wil. Persekutuan,Kuala Lumpur,03-7722 3832,3.15307,101.623,false
73,GUARDIAN GIANT KUANTAN,"LOT B4, GF, GIANT HYPERMARKET,LOT 5197, JLN TANAH PUTIH,SEKSYEN 124, MUKIM KUANTAN",25150,Pahang,Pahang,09-513 9311,3.79224,103.31,true
74,GUARDIAN GIANT KLANG,"LOT B5, GIANT HYPERMARKET KLANG,BANDAR BUKIT TINGGI 1,JLN LANGAT, KLANG",41200,Selangor,Selangor,03-3323 5642,3.00973,101.433,true
75,"KINRARA, PUCHONG","36A, JALAN TK1/11A,TAMAN KINRARA, SEKSYEN 1,BATU 7 1/2, JALAN PUCHONG",58200,Wil. Persekutuan,Kuala Lumpur,03-8070 5453,3.0635,101.648,false
76,PUCHONG PRIMA,"F-01-08, BLOCK F, JALAN PRIMA 5/3,PERSIARAN PRIMA UTAMA,TAMAN PUCHONG PRIMA",47100,Selangor,Selangor,03-8062 2921,2.99963,101.596,false
79,PUCHONG JAYA,"NO.3, GROUND FLOOR,JALAN KENARI 1,BANDAR PUCHONG JAYA",47100,Selangor,Selangor,03-5882 8723,3.0456,101.621,false
80,TAMAN PUTRA,"NO.8,JALAN BUNGA TANJUNG 8,,TAMAN PUTRA",68000,Selangor,Selangor,03-4296 8672,3.12083,101.762,false
83,BANDAR BARU SUNGEI BULOH,"NO 368 JALAN 1A/3,BANDAR BARU SUNGEI BULOH,SEKSYEN U20",47000,Selangor,Selangor,03-6156 5120,3.21098,101.566,false
84,SRI GOMBAK,"NO. 17 GROUND FLOOR,JALAN SG 1/6,TAMAN SRI GOMBAK, BATU CAVES",68100,Wil. Persekutuan,Kuala Lumpur,03-6188 0620,3.23767,101.699,false
86,JALAN TUNKU IBRAHIM ALOR SETAR,57 & 59 JLN TUNKU IBRAHIM,5000,Kedah,Kedah,04-735 3418,6.11748,100.37,false
87,PANDAN JAYA,"NO 39 & 41,JALAN PANDAN JAYA 3/3",55100,Wil. Persekutuan,Kuala Lumpur,03-9281 1004,3.13569,101.741,false
88,ETONIC RAWANG,"G2, GROUND FLOOR, WISMA ETONIC,NO 7, PERSIARAN BANDAR RAWANG,PUSAT BANDAR RAWANG",48000,Selangor,Selangor,03-6092 2572,3.32088,101.577,false
90,TANJUNG BUNGAH,"NO 1-G, JALAN SUNGAI KELIAN,TANJUNG BUNGAH",11200,Pulau Pinang,Pulau Pinang,04-890 0779,5.46459,100.292,false
91,SRI RAMPAI,"2A, JALAN 46/26,TAMAN SRI RAMPAI",53300,Wil. Persekutuan,Kuala Lumpur,03-4143 8652,3.19563,101.733,false
92,ISLAND PLAZA,"LOT G10 & G11,GROUND FLOOR,ISLAND PLAZA,NO.118, JALAN TANJUNG TOKONG",10470,Pulau Pinang,Pulau Pinang,04-890 0893,5.45021,100.306,false
95,KOMPLEKS MUTIARA,"NO. 568-G-44, KOMPLEKS MUTIARA,3 1/2 MILES, JALAN IPOH",51200,Wil. Persekutuan,Kuala Lumpur,03-6257 6158,3.18872,101.681,false
97,AEON METRO PRIMA KEPONG,"LOT G25, GROUND FLOOR,JUSCO METRO PRIMA SHOPPING CENTRE,JALAN KEPONG",52100,Wil. Persekutuan,Kuala Lumpur,03-6250 3357,3.21321,101.639,true
98,GUARDIAN GIANT BUKIT ANTARABANSA,"LOT 560 (PT 3429) JALAN WANGSA UKAY,TAMAN WANGSA UKAY,ULU KLANG",68000,Selangor,Selangor,03-4107 0958,3.19206,101.77,false
100,"KOMPLEKS KARAMUNSING, KK","LOT G.01(pt), G.02 & G. 03,",88300,Sabah,Sabah,088-269 414,5.97114,116.075,false
101,"FAJAR COMPLEX, TAWAU","TB330A & TB330B,JALAN MERDEKA 2, FAJAR COMPLEX",91000,Sabah,Sabah,089-759 241,4.24534,117.891,true
102,"SATOK, KUCHING","NO. 194K & 194L, GROUND FLOOR,AL-IDRUS COMMERCIAL CENTRE,JALAN SATOK",93400,Sarawak,Sarawak,082-420 176,1.55358,110.331,true
103,GUARDIAN GIANT KELANA JAYA,"LOT F28 & F29, GIANT HYPERMARKET KJ,JALAN PERBANDARAN SS6/4,PUSAT BANDAR KELANA JAYA",47301,Selangor,Selangor,0378041837,3.10321,101.598,false
105,JALAN DUNLOP TAWAU,"TB 254B, GROUND FLOOR,JALAN DUNLOP",91000,Sabah,Sabah,089-758 607,4.24433,117.888,false
108,TAMAN TAS KUANTAN,"LOT A-9, GROUND FLOOR,TAMAN PANDAN PERMAI, JALAN 2/1,KM12, JALAN GAMBANG",25150,Pahang,Pahang,09-539 7817,3.76994,103.233,false
109,JALAN TUN PERAK,"40 & 42,JALAN TUN PERAK",50050,Wil. Persekutuan,Kuala Lumpur,03-2031 4349,3.14889,101.697,true
110,PUTRAJAYA,"PUTRAJAYA PRECINCT 8,BLOCK C-T00-UO1,NO 1, JALAN P8D",62250,Wil. Persekutuan,Kuala Lumpur,03-8888 9149,2.93909,101.683,true
112,JALAN PUTRA ALOR SETAR,"LOT NO 206-A,,SEBERANG JALAN PUTRA",5100,Kedah,Kedah,04-735 5387,6.12514,100.357,false
113,WISMA SEE HUA,"NO. 40, JALAN TUANKU OSMAN,GROUND FLOOR,WISMA SEE HUA",96000,Sarawak,Sarawak,084-323 037,2.29323,111.827,true
114,INTERMARK,"LOT C-18 CONCOURSE FLOOR,,THE INTERMARK,348 JALAN TUN RAZAK",50400,Wil. Persekutuan,Kuala Lumpur,03-2161 0609,3.1615,101.72,true
115,"JALAN BENDAHARA, MELAKA","53A-53B, GROUND & MEZANANINE FLOOR,JALAN BENDAHARA",75100,Melaka,Melaka,06-281 2921,2.19801,102.252,false
117,ENTREPRENEUR PARK,"NO 4, GF, JLN 10/116B,KUCHAI ENTREPRENEUR'S PARK,OFF JALAN KUCHAI LAMA",58100,Wil. Persekutuan,Kuala Lumpur,03-7980 4070,3.09038,101.689,false
118,KOTA BARU MALL,"LOT NO 31, GROUND FLOOR, KB MALL,PT 101 & 102, JALAN HAMZAH,SEKSYEN 16",15050,Kelantan,Kelantan,09-747 8028,6.11749,102.241,true
119,"JALAN ALI, MUAR","NO 31-1 & 31-2, GROUND FLOOR,JALAN ALI",84000,Johor,Johor,06-955 6319,2.04641,102.569,false
120,TAMAN MOLEK,"NO 89, GROUND FLOOR,JALAN MOLEK 3/1,TAMAN MOLEK",81100,Johor,Johor,07-357 0934,1.52294,103.786,false
122,"JLN SIA HER YAM, SEGAMAT","NO. 154, JALAN SIA HER YAM",85000,Johor,Johor,07-931 9598,2.50456,102.823,false
123,BERCHAM IPOH,"NO 277 & 279 (GROUND & FIRST FLOOR),JALAN BERCHAM,TAMAN DESA KENCANA",31400,Perak,Perak,05-547 6767,4.63035,101.127,false
124,JALAN RAHMAT BATU PAHAT,"NO 37, 37-1, 37-2 GROUND FLOOR,JALAN RAHMAT",83000,Johor,Johor,07-432 7914,1.84862,102.932,true
125,TAMAN ENG ANN,"No. 14 & 16, LORONG KASAWARI 8,TAMAN ENG ANN",41150,Selangor,Selangor,03-3343 5408,3.05844,101.46,false
126,"JALAN KOTA, TAIPING","NO 62, 64 & 66, JALAN KOTA",34000,Perak,Perak,05-805 8557,4.85262,100.742,false
128,JALAN PAYAMAS TANGKAK,LOT 1331 JALAN PAYAMAS,84900,Johor,Johor,06-978 6826,2.27012,102.542,false
129,GUARDIAN GIANT KAJANG,"GIANT SUPERSTORE PRIMA SAUJANA,S02 PUSAT BANDAR BARU,KAJANG PRIMA SAUJANA",43000,Selangor,Selangor,03-8733 3857,3.00914,101.803,false
130,E-GATE,"LOT G-17 & G-18, GF,E-GATE,LEBUH TENKU KUDIN 2,BANDAR JELUTONG, GELUGOR",11700,Pulau Pinang,Pulau Pinang,04-659 9952,5.37663,100.316,true
134,CENTRE POINT BANDAR UTAMA2,"LOT G102B & G103, GROUND FLOOR,CENTRE POINT BANDAR UTAMA",47800,Selangor,Selangor,0377266450,3.1378,101.61,true
135,GUARDIAN GIANT BAYAN BARU,"LOT G10 & G11,NO 78 JALAN TENGAH BAYAN BARU,BAYAN LEPAS",11900,Pulau Pinang,Pulau Pinang,04-641 2216,5.32095,100.284,true
136,TSH PARADE LANGKAWI,"NO 4 & 5 GROUND FLOOR TSH PARADE,BATU 3/4 POKOK ASAM",7000,Kedah,Kedah,04-967 2899,6.32728,99.8381,false
137,KLANG SHOPPING CENTRE,"NO G3 & G5,GF KLANG SHOPPING CENTRE,TAMAN UTAMA KLANG",42100,Selangor,Selangor,03-3290 7412,3.07909,101.421,false
138,GUARDIAN GIANT SUNGEI WANG PLAZA,"GIANT SUPERMARKET SUNGAI WANG PLAZA,LB FLOOR SUNGAI WANG PLAZA,JALAN SULTAN ISMAIL",55100,Wil. Persekutuan,Kuala Lumpur,03-2145 8467,3.1449,101.712,false
139,TAMAN MELAKA RAYA,"552 GROUND FLOOR,TAMAN MELAKA RAYA",75000,Melaka,Melaka,06-282 3500,2.18675,102.258,false
140,SECTION 7 SHAH ALAM,"24 JALAN E7/E, SEKSYEN 7,FASA 3A",40000,Selangor,Selangor,03-5512 7898,3.08171,101.492,false
141,JALAN DATO SHEIKH SEREMBAN,NO 10 & 11 JALAN DATO SHEIKH AHMAD,70000,Negeri Sembilan,Negeri Sembilan,06-763 2399,2.72428,101.94,true
142,JALAN TOKONG KAMPAR,"NO 1 & 2, GROUND FLOOR,JALAN TOKONG",31900,Perak,Perak,05-465 9553,4.31319,101.152,false
