pharmacy_id,name,address,phone,state,source,latitude,longitude,geocode_source,brand
NPRAf2147328d0,Nutrilife Pharmacy Sdn Bhd (Georgetown Pharmacy),"No.9, Jalan Raja Syed Alwi, 01000 Kangar, Perlis",04-9705628,Perlis,NPRA,6.4362385,100.1950594,full,Georgetown
NPRA77228dcbaf,Poly Pharmacy Sdn Bhd,"No. 915, Jalan Sultan Badlishah, 05000 Alor Setar, Kedah",04-7311310,Kedah,NPRA,6.123982199999999,100.3709808,full,NPRA
NPRA0b2d99d640,Farmasi Kota Jaya -Alor Setar,"No. 64, Pusat Perniagaan Kota Jaya, Jalan Kota Sarang Semut, 06800, Alor Setar, Kedah",04-7693002,Kedah,NPRA,5.97555,100.39942,full,NPRA
NPRA38f175c476,Sinar Farmasi (Farmasi Sinar),"No.5-A, Bangunan Al-Ikhwan, Pusat Perniagaan Putra, Kelang Lama Kulim 09000 Kulim, Kedah",04-4918100,Kedah,NPRA,5.3906589,100.564016,full,NPRA
NPRA3f29f34232,Mega Kulim Pharmacy Sdn. Bhd -Bangunan Pknk,"14A, Bangunan Pknk, Jalan Tunku Abidah, 09000 Kulim Kedah",04-4907993,Kedah,NPRA,5.368492,100.5541692,full,Mega Kulim
NPRAbf2f5e85ad,Mega Kulim Pharmacy Sdn. Bhd. -Jalan Tunku Putra,"165 & 166, Jalan Tunku Putra, 09000 Kulim Kedah",04-4903118,Kedah,NPRA,5.3714919,100.555334,full,Mega Kulim
NPRA2a89e4b1b1,Mega Kulim Pharmacy Sdn. Bhd. -Jalan Ibrahim,"No.20, Jalan Ibrahim, 08000 Sungai Petani, Kedah",04-4254027,Kedah,NPRA,5.642012200000001,100.4890845,full,Mega Kulim
NPRA2526944d42,Mega Kulim Pharmacy Sdn. Bhd. -Taman Semarak,"13 & 14, Jalan Selasih, Taman Semarak, 09000 Kulim Kedah",04-4912168,Kedah,NPRA,5.377509,100.539236,full,Mega Kulim
NPRAbff174939f,Mega Kulim Pharmacy Sdn. Bhd. -Taman Semarak,"13 & 14, Jalan Selasih, Taman Semarak, 09000 Kulim Kedah",04-4912168,Kedah,NPRA,5.377509,100.539236,full,Mega Kulim
NPRA597cbcd1cc,Mega Kulim Pharmacy Sdn. Bhd. -Taman Semarak,"13 & 14, Jalan Selasih, Taman Semarak, 09000 Kulim Kedah",04-4912169,Kedah,NPRA,5.377509,100.539236,full,Mega Kulim
NPRAf8f836f60a,Realcare Pharmacy (K) Sdn Bhd -Pekan Simpang Kuala,"151&152, Jalan Psk 3, Pekan Simpang Kuala, 05400 Alor Setar, Kedah",04-7716628,Kedah,NPRA,6.099682899999999,100.3656898,full,NPRA
NPRA8aa5f2dbd0,Wb Health And Beauty Sdn Bhd (T/A Wellbeing Pharmacy) -Aman Central 1,"Lot G03A&G05, Aman Central 1, Lebuhraya Darul Aman, 05100 Alor Setar, Kedah",04-7308880,Kedah,NPRA,6.1248637,100.3667935,full,NPRA
NPRAc4a60ee798,Smartsons Pharmacy Sdn Bhd,"323-C, Jln Kuala Ketil,Pekan Lama, 08000 Sg Petani, Kedah",04-4226889,Kedah,NPRA,5.6375711,100.4956951,full,NPRA
NPRA5067c901db,Psk Wb Sdn Bhd -Pekan Simpang Kuala,"No 219A, Jalan Psk 6, Pekan Simpang Kuala,05400 Alor Setar, Kedah",,Kedah,NPRA,6.1004492,100.3660047,full,NPRA
NPRA619af993a2,Northern Healthcare,"4, Jln Kuda Kepang 1/1A, Taman Ria Jaya, 08000 Sg. Petani, Kedah",04-4428969,Kedah,NPRA,5.6477302,100.518115,full,NPRA
NPRAbbafbe6e0a,Health Path Sdn Bhd -Alor Setar,"2,Jalan Kompleks Perniagaan Jelatek, Jln Langgar, 05460 Alor Setar, Kedah",04-7312586,Kedah,NPRA,6.1326902,100.3900135,full,NPRA
NPRAfeed6dc54c,Farmasi Econ (S.P) Sdn Bhd - Sungai Petani,"6, Jln Pengkalan, 08000 Sungai Petani, Kedah",04-4211115,Kedah,NPRA,5.641579200000001,100.4877071,full,NPRA
NPRAcc3af6ce6f,Farmasi Tigas Alliance- Berjaya Pharmacy Retail Sdn Bhd,"Lot No. 11 & 12, Tingkat Bawah, Kompleks Amanjaya, Persiaran Cempaka, Bandar Amanjaya, 08000 Sungai Petani, Kedah",04-4400178,Kedah,NPRA,5.6727394,100.5095052,full,NPRA
NPRA956ac92b66,As Pharmacy -Mukim Mergong,"23 Tingkat Bawah, Pusat Dagangan Tuanku Haminah,Mukim Mergong, 05150 Alor Setar, Kedah",04-7338836,Kedah,NPRA,6.135186,100.3425771,full,NPRA
NPRAb3a3e31b43,Suria Pharmacare Sdn Bhd (Farmasi Suria),"Lot 9, Kompleks Perniagaan Guar Utama, Jalan Guar Utama,08000 Guar Chempedak, Kedah",,Kedah,NPRA,5.8595487,100.4557704,full,NPRA
NPRAb613982388,Otto Pharma Sdn Bhd -Alor Setar,"2506 A, Jalan Pekan Pumpong, 05250 Alor Setar, Kedah",04-7622204,Kedah,NPRA,6.152013999999999,100.3692325,full,NPRA
NPRA7e369ea055,Farmasi Pj,"No 15, Lorong Serai Setia 1/1, Taman Serai Setia, 09400 Padang Serai, Kedah.",04-4851868,Kedah,NPRA,5.5145721,100.5508739,full,NPRA
NPRAdaed33dc6d,Royale Pharma Pharmacy(Pharmaniaga Pristine Sdn Bhd),"No.2 Lorong Blm 1/2, Bandar Laguna Merbok, 08000 Sungai Petani, Kedah",03-33429999 377,Kedah,NPRA,5.679744899999999,100.4938301,full,NPRA
NPRA088f1bc243,Wb Health And Beauty Sdn Bhd(Wellbeing Health.Beauty),"8E, Gf & Mezzanine Floor, Samila Business Centre, Aman Walk Lebuhraya Darulaman 05100 Alor Setar Kedah",,Kedah,NPRA,6.123254699999999,100.3663541,full,NPRA
NPRAc449540962,Suria Pharmacare Sdn Bhd,"No 03, Susuran Arowana 2, Taman Kelisa, Kerpan,Ayer Hitam, 06150 Kubang Pasu, Kedah",04-7940607,Kedah,NPRA,6.2568496,100.2297168,full,NPRA
NPRAc32a557eda,Farmasi Suria,"No 2A (Tingkat Bawah), Susur Allamanda 2,Pusat Perniagaan Allamanda, 08200 Sik Kedah",04-4615451,Kedah,NPRA,5.815523,100.740051,full,NPRA
NPRA3d8a5105c4,Mega Kulim Pharmacy Sdn Bhd (Mega Kulim Pharmacy),"144 Jalan Lagenda 5, Lagenda Heights 08000 Sungai Petani Kedah",04-4252168,Kedah,NPRA,5.6589969,100.5007195,full,Mega Kulim
NPRA6cb366be79,One Stop Wellcare Pharmacy,"91, Tingkat Bawah, Jalan Lagenda 1, Lagenda Heights, 08000 Sungai Petani, Kedah",04-4213697,Kedah,NPRA,5.6620256,100.5029369,full,NPRA
