pharmacy_id,name,address,state,brand,source,latitude,longitude,geocode_source
PMG9a4c949dfa,PR,"PR, PR",,Alliance,PMG,4.210484,101.975766,full
PMG0f946ae04b,AM PM IMC,"AM PM IMC, AM PM IMC",Johor,AM PM,PMG,1.9343998,103.3587288,full
PMGe85f23d00a,AM PM Pharmacy (Ayer Hitam),"AM PM Pharmacy (Ayer Hitam), Ayer Hitam",Johor,AM PM,PMG,1.9173507,103.1802909,full
PMG6d797145b5,AM PM Pharmacy (Bandar Seri Alam),"AM PM Pharmacy (Bandar Seri Alam), Bandar Seri Alam",Johor,AM PM,PMG,1.4934161,103.8747096,full
PMG4676d6cccf,AM PM Pharmacy (Bukit Indah),"AM PM Pharmacy (Bukit Indah), Bukit Indah",Johor,AM PM,PMG,1.4777296,103.6504235,full
PMG272a58b7ea,AM PM Pharmacy (Desaru),"AM PM Pharmacy (Desaru), Desaru",Johor,AM PM,PMG,1.5751263,104.2055539,full
PMGa4309be208,AM PM Pharmacy (Gelang Patah 2),"AM PM Pharmacy (Gelang Patah 2), Gelang Patah 2",Johor,AM PM,PMG,1.4552222,103.5996548,full
PMG69b6e3307a,AM PM Pharmacy (Gelang Patah),"AM PM Pharmacy (Gelang Patah), Gelang Patah",Johor,AM PM,PMG,1.4589057,103.5844525,full
PMG66b7d039ae,AM PM Pharmacy (George Town),"AM PM Pharmacy (George Town), George Town",Johor,AM PM,PMG,1.9343998,103.3587288,full
PMG226cab1081,AM PM Pharmacy (Indahpura),"AM PM Pharmacy (Indahpura), Indahpura",Johor,AM PM,PMG,1.6414803,103.6208427,full
PMGb9e4854af5,AM PM Pharmacy (IOI Kulai),"AM PM Pharmacy (IOI Kulai), IOI Kulai",Johor,AM PM,PMG,1.6483001,103.6267948,full
PMG066e7a9c7d,AM PM Pharmacy (Jelutong),"AM PM Pharmacy (Jelutong), Jelutong",Johor,AM PM,PMG,1.4589057,103.5844525,full
PMG6ea4be7c45,AM PM Pharmacy (Johor Jaya),"AM PM Pharmacy (Johor Jaya), Johor Jaya",Johor,AM PM,PMG,1.5425004,103.8025152,full
PMGe2c48db9e3,AM PM Pharmacy (Kelapa Sawit),"AM PM Pharmacy (Kelapa Sawit), Kelapa Sawit",Johor,AM PM,PMG,1.6752593,103.5317315,full
PMG829937e177,AM PM Pharmacy (Kluang Baru),"AM PM Pharmacy (Kluang Baru), Kluang Baru",Johor,AM PM,PMG,2.0372591,103.332149,full
PMGe2124a8df0,AM PM Pharmacy (Kota Masai),"AM PM Pharmacy (Kota Masai), Kota Masai",Johor,AM PM,PMG,1.484121,103.9531179,full
PMG48edb6942d,AM PM Pharmacy (Kota Tinggi),"AM PM Pharmacy (Kota Tinggi), Kota Tinggi",Johor,AM PM,PMG,1.7359555,103.8899571,full
PMGaf2da22a9a,AM PM Pharmacy (Kulai),"AM PM Pharmacy (Kulai), Kulai",Johor,AM PM,PMG,1.6649601,103.5942316,full
PMGc87a9dfdb8,AM PM Pharmacy (Mersing),"AM PM Pharmacy (Mersing), Mersing",Johor,AM PM,PMG,2.4313843,103.8356511,full
PMG0395254895,AM PM Pharmacy (Mount Austin),"AM PM Pharmacy (Mount Austin), Mount Austin",Johor,AM PM,PMG,1.5646793,103.7774945,full
PMGf73a2a73c0,AM PM Pharmacy (Muar Jalan Salleh),"AM PM Pharmacy (Muar Jalan Salleh), Muar Jalan Salleh",Johor,AM PM,PMG,2.0679062,102.5775848,full
PMGbc96eb437d,AM PM Pharmacy (Muar Mega Square),"AM PM Pharmacy (Muar Mega Square), Muar Mega Square",Johor,AM PM,PMG,2.0505822,102.5829043,full
PMG3114fb7b76,AM PM Pharmacy (Nusa Bestari),"AM PM Pharmacy (Nusa Bestari), Nusa Bestari",Johor,AM PM,PMG,1.4802054,103.6658954,full
PMG963af05c0f,AM PM Pharmacy (Permas Jaya),"AM PM Pharmacy (Permas Jaya), Permas Jaya",Johor,AM PM,PMG,1.4966439,103.8151457,full
PMG708b47945e,AM PM Pharmacy (Pontian),"AM PM Pharmacy (Pontian), Pontian",Johor,AM PM,PMG,1.4869255,103.388961,full
PMG00325502af,AM PM Pharmacy (Puteri Wangsa),"AM PM Pharmacy (Puteri Wangsa), Puteri Wangsa",Johor,AM PM,PMG,1.5903527,103.8059695,full
PMG02abbacb14,AM PM Pharmacy (Rengit),"AM PM Pharmacy (Rengit), Rengit",Johor,AM PM,PMG,1.6809882,103.1443522,full
PMG73c18f8f86,AM PM Pharmacy (Setia Indah),"AM PM Pharmacy (Setia Indah), Setia Indah",Johor,AM PM,PMG,1.5730762,103.7571455,full
PMG8a91ac6235,AM PM Pharmacy (Sungai Abong Muar),"AM PM Pharmacy (Sungai Abong Muar), Sungai Abong Muar",Johor,AM PM,PMG,2.061321,102.5991273,full
PMGe1f40e9270,AM PM Pharmacy (Taman Banang),"AM PM Pharmacy (Taman Banang), Taman Banang",Johor,AM PM,PMG,1.8668398,102.9378443,full
