pharmacy_id,name,address,state,postcode,brand,source,latitude,longitude,geocode_source
WATf3fc7a82c8,Watsons 1 Mont Kiara,"WATSONS 1 MONT KIARA, LG-2 & LG-3 LOWER GROUND FLOOR 4/MONT KIARA 1 JALAN KIARA MONT KIARA . 50480 Mont Kiara Kuala Lumpur",Kuala Lumpur,50480,Watsons,Watsons,3.165701700000001,101.6531554,full
WATcbf2fb9074,Watsons 168 Park Selayang,"WATSON'S 168 PARK SELAYANG,G-15,168 PARK 'SELAYANG,BANDAR SELAYANG,DAERAH GOMBAK, . 68100 } Selayang Selangor",Selangor,68100,Watsons,Watsons,3.259160000000001,101.6519,full
WATd9bb1bb384,Watsons 1St Avenue,"WATSONS 1ST AVENUE, LOT 3-16 & 3-17 3RD FLOOR 1ST AVENUE 128 JALAN MAGAZINE . 10300 Pulau Pinang Pulau Pinang",Pulau Pinang,10300,Watsons,Watsons,5.4133602,100.331436,full
WAT256131535f,Watsons 3 Damansara,"WATSONS 3 DAMANSARA, LOT G-15 GF 3 DAMANSARA. 47400, Petaling Jaya Selangor",Selangor,47400,Watsons,Watsons,3.1303908,101.6279042,full
WAT1d7841f3dc,Watsons 68 Avenue,"WATSON'S 68 AVENUE,NO.33&NO.35,GF & FIRST FLOOR,JALAN SURIA 3,PUSAT KOMERSIAL SURIA, . 81550 Gelang Patah Johor",Johor,81550,Watsons,Watsons,1.4549982,103.5992603,full
WAT2c387f670d,Watsons 88 Mall,"WATSONS 88 MALL, LOT 7 1ST FLOOR 88 MALL TAMAN RIDGEVIEW . 88200 Kota Kinabalu Sabah",Sabah,88200,Watsons,Watsons,5.9410288,116.0702239,full
WAT0b72cda504,Watsons 9 Avenue Mall,"WATSONS 9 AVENUE MALL, SHOP 1 GROUND FLOOR 9 AVENUE TAMAN KOPORAT PUTRA NILAI . 71800 Nilai N.Sembilan",Negeri Sembilan,71800,Watsons,Watsons,2.811615,101.7918625,full
WAT0263eff190,Watsons Adda Heights,"WATSON'S ADDA HEIGHTS,NO.32836,GF JALAN ADDA 7,TAMAN ADDA HEIGHTS, . 81100 Johor Bahru Johor",Johor,81100,Watsons,Watsons,1.5479381,103.7437895,full
WAT3ac6b17924,Watsons Aeon Alpha Angle,"WATSONS AEON ALPHA ANGLE, LOT F10 1ST FLOOR PT 241 JALAN R1 WANGSA MAQU . 53300 Setapak Kuala Lumpur",Kuala Lumpur,53300,Watsons,Watsons,3.2023368,101.7340512,full
WATd69c7a390d,Watsons Aeon Au2 Shopping Centre,"WATSONS AEON AU2 SHOPPING CENTRE, LOT G-065,GROUND FLOOR,AEON SHOPPING CENTRE,NO.6,TMN SETIAWANGSA(ILN 37/56),AU2 BDR BARU AMPANG,MUKIM ' ULU KELANG . 54200 Kuala Lumpur Kuala Lumpur f",Kuala Lumpur,54200,Watsons,Watsons,3.1771592,101.7508987,full
WAT8c56d6a34c,Watsons Aeon Bandaraya Melaka,"WATSONS AEON BANDARAYA MELAKA, LOT G62 GF AEON BNDARAYA SHOPPING CENTRE NO 2 JLN LAGENDA TAMAN I- LAGENDA . 75400 Melaka Melaka",Melaka,75400,Watsons,Watsons,2.2155368,102.2456373,full
WATfe734170aa,Watsons Aeon Bandar Dato Onn,"WATSONS AEON BANDAR DATO ONN, LOT G22 623 & G25 GROUND FLOOR AEON MALL KEMPAS BANDAR DATO ONN . \ 81100 Johor Bahru Johor Q",Johor,81100,Watsons,Watsons,1.5628211,103.7352062,full
WATcb6892c539,Watsons Aeon Big Ampang,"WATSONS AEON BIG AMPANG, LOT F118 & F119 GF AEON BIG. AMPANG 2 LORONG DAGANG PERMAI 6 TAMAN DAGANG PERMAI.. 68000 Ampang Kuala Lumpur",Kuala Lumpur,68000,Watsons,Watsons,3.1395033,101.7790503,full
