cell_id,parent_mukim,district,state,population
G0000,Papar,Papar,Sabah,0
G0001,Papar,Papar,Sabah,0
G0002,Papar,Papar,Sabah,0
G0003,Papar,Papar,Sabah,0
G0004,Papar,Papar,Sabah,0
G0005,Papar,Papar,Sabah,0
G0006,Papar,Papar,Sabah,0
G0007,Papar,Papar,Sabah,0
G0008,Papar,Papar,Sabah,0
G0009,Papar,Papar,Sabah,0
G0010,Papar,Papar,Sabah,0
G0011,Papar,Papar,Sabah,0
G0012,Papar,Papar,Sabah,0
G0013,Papar,Papar,Sabah,0
G0014,Papar,Papar,Sabah,0
G0015,Papar,Papar,Sabah,0
G0016,Papar,Papar,Sabah,0
G0017,Papar,Papar,Sabah,0
G0018,Papar,Papar,Sabah,0
G0019,Papar,Papar,Sabah,0
G0020,Papar,Papar,Sabah,0
G0021,Papar,Papar,Sabah,0
G0022,Papar,Papar,Sabah,4
G0023,Papar,Papar,Sabah,0
G0024,Papar,Papar,Sabah,11
G0025,Papar,Papar,Sabah,0
G0026,Papar,Papar,Sabah,0
G0027,Papar,Papar,Sabah,0
G0028,Papar,Papar,Sabah,0
G0029,Papar,Papar,Sabah,0
G0030,Papar,Papar,Sabah,0
G0031,Papar,Papar,Sabah,0
G0032,Papar,Papar,Sabah,0
G0033,Papar,Papar,Sabah,0
G0034,Papar,Papar,Sabah,93
G0035,Papar,Papar,Sabah,0
G0036,Papar,Papar,Sabah,0
G0037,Papar,Papar,Sabah,0
G0038,Papar,Papar,Sabah,0
G0039,Papar,Papar,Sabah,0
G0040,Papar,Papar,Sabah,0
G0041,Papar,Papar,Sabah,0
G0042,Papar,Papar,Sabah,0
G0043,Papar,Papar,Sabah,0
G0044,Papar,Papar,Sabah,0
G0045,Papar,Papar,Sabah,34
G0046,Papar,Papar,Sabah,37
G0047,Papar,Papar,Sabah,0
G0048,Papar,Papar,Sabah,0
G0049,Papar,Papar,Sabah,0
G0050,Papar,Papar,Sabah,0
G0051,Papar,Papar,Sabah,0
G0052,Papar,Papar,Sabah,4
G0053,Papar,Papar,Sabah,0
G0054,Papar,Papar,Sabah,0
G0055,Papar,Papar,Sabah,0
G0056,Papar,Papar,Sabah,0
G0057,Papar,Papar,Sabah,0
G0058,Papar,Papar,Sabah,0
G0059,Papar,Papar,Sabah,30
G0060,Papar,Papar,Sabah,67
G0061,Papar,Papar,Sabah,0
G0062,Papar,Papar,Sabah,71
G0063,Papar,Papar,Sabah,0
G0064,Papar,Papar,Sabah,0
G0065,Papar,Papar,Sabah,4
G0066,Papar,Papar,Sabah,0
G0067,Papar,Papar,Sabah,4
G0068,Papar,Papar,Sabah,0
G0069,Papar,Papar,Sabah,0
G0070,Papar,Papar,Sabah,0
G0071,Papar,Papar,Sabah,0
G0072,Papar,Papar,Sabah,0
G0073,Papar,Papar,Sabah,26
G0074,Papar,Papar,Sabah,15
G0075,Papar,Papar,Sabah,11
G0076,Papar,Papar,Sabah,0
G0077,Papar,Papar,Sabah,4
G0078,Papar,Papar,Sabah,0
G0079,Papar,Papar,Sabah,7
G0080,Papar,Papar,Sabah,11
G0081,Papar,Papar,Sabah,0
G0082,Papar,Papar,Sabah,0
G0083,Papar,Papar,Sabah,0
G0084,Papar,Papar,Sabah,0
G0085,Papar,Papar,Sabah,0
G0086,Papar,Papar,Sabah,0
G0087,Papar,Papar,Sabah,0
G0088,Papar,Papar,Sabah,0
G0089,Papar,Papar,Sabah,0
G0090,Papar,Papar,Sabah,7
G0091,Papar,Papar,Sabah,0
G0092,Papar,Papar,Sabah,37
G0093,Papar,Papar,Sabah,7
G0094,Papar,Papar,Sabah,22
G0095,Papar,Papar,Sabah,0
G0096,Papar,Papar,Sabah,0
G0097,Papar,Papar,Sabah,0
G0098,Papar,Papar,Sabah,0
G0099,Papar,Papar,Sabah,0
G0100,Papar,Papar,Sabah,0
G0101,Papar,Papar,Sabah,0
G0102,Papar,Papar,Sabah,0
G0103,Papar,Papar,Sabah,0
G0104,Papar,Papar,Sabah,0
G0105,Papar,Papar,Sabah,0
G0106,Papar,Papar,Sabah,0
G0107,Papar,Papar,Sabah,0
G0108,Papar,Papar,Sabah,0
G0109,Papar,Papar,Sabah,0
G0110,Papar,Papar,Sabah,0
G0111,Papar,Papar,Sabah,19
G0112,Papar,Papar,Sabah,4
G0113,Papar,Papar,Sabah,15
G0114,Papar,Papar,Sabah,7
G0115,Papar,Papar,Sabah,0
G0116,Papar,Papar,Sabah,0
G0117,Papar,Papar,Sabah,0
G0118,Papar,Papar,Sabah,0
G0119,Papar,Papar,Sabah,0
G0120,Papar,Papar,Sabah,0
G0121,Papar,Papar,Sabah,0
G0122,Papar,Papar,Sabah,0
G0123,Papar,Papar,Sabah,0
G0124,Papar,Papar,Sabah,0
G0125,Papar,Papar,Sabah,0
G0126,Papar,Papar,Sabah,0
G0127,Papar,Papar,Sabah,4
G0128,Papar,Papar,Sabah,0
G0129,Papar,Papar,Sabah,0
G0130,Papar,Papar,Sabah,11
G0131,Papar,Papar,Sabah,15
G0132,Papar,Papar,Sabah,7
G0133,Papar,Papar,Sabah,4
G0134,Papar,Papar,Sabah,0
G0135,Papar,Papar,Sabah,0
G0136,Papar,Papar,Sabah,4
G0137,Papar,Papar,Sabah,0
G0138,Papar,Papar,Sabah,0
G0139,Papar,Papar,Sabah,0
G0140,Papar,Papar,Sabah,0
G0141,Papar,Papar,Sabah,0
G0142,Papar,Papar,Sabah,0
G0143,Papar,Papar,Sabah,0
G0144,Papar,Papar,Sabah,0
G0145,Papar,Papar,Sabah,0
G0146,Papar,Papar,Sabah,0
G0147,Papar,Papar,Sabah,0
G0148,Papar,Papar,Sabah,26
G0149,Papar,Papar,Sabah,0
G0150,Papar,Papar,Sabah,0
G0151,Papar,Papar,Sabah,0
G0152,Papar,Papar,Sabah,19
G0153,Papar,Papar,Sabah,56
G0154,Papar,Papar,Sabah,11
G0155,Papar,Papar,Sabah,4
G0156,Papar,Papar,Sabah,7
G0157,Papar,Papar,Sabah,0
G0158,Papar,Papar,Sabah,0
G0159,Papar,Papar,Sabah,0
G0160,Papar,Papar,Sabah,0
G0161,Papar,Papar,Sabah,0
G0162,Papar,Papar,Sabah,30
G0163,Papar,Papar,Sabah,11
G0164,Papar,Papar,Sabah,0
G0165,Papar,Papar,Sabah,0
G0166,Papar,Papar,Sabah,0
G0167,Papar,Papar,Sabah,0
G0168,Papar,Papar,Sabah,0
G0169,Papar,Papar,Sabah,0
G0170,Papar,Papar,Sabah,0
G0171,Papar,Papar,Sabah,0
G0172,Papar,Papar,Sabah,22
G0173,Papar,Papar,Sabah,0
G0174,Papar,Papar,Sabah,0
G0175,Papar,Papar,Sabah,0
G0176,Papar,Papar,Sabah,0
G0177,Papar,Papar,Sabah,0
