cell_id,parent_mukim,district,state,population
G0000,Mukim Sepang,Sepang,Selangor,0
G0001,Mukim Sepang,Sepang,Selangor,53
G0002,Mukim Sepang,Sepang,Selangor,764
G0003,Mukim Sepang,Sepang,Selangor,614
G0004,Mukim Sepang,Sepang,Selangor,0
G0005,Mukim Sepang,Sepang,Selangor,0
G0006,Mukim Sepang,Sepang,Selangor,276
G0007,Mukim Sepang,Sepang,Selangor,764
G0008,Mukim Sepang,Sepang,Selangor,191
G0009,Mukim Sepang,Sepang,Selangor,0
G0010,Mukim Sepang,Sepang,Selangor,0
G0011,Mukim Sepang,Sepang,Selangor,0
G0012,Mukim Sepang,Sepang,Selangor,22
G0013,Mukim Sepang,Sepang,Selangor,211
G0014,Mukim Sepang,Sepang,Selangor,895
G0015,Mukim Sepang,Sepang,Selangor,1190
G0016,Mukim Sepang,Sepang,Selangor,27
G0017,Mukim Sepang,Sepang,Selangor,0
G0018,Mukim Sepang,Sepang,Selangor,0
G0019,Mukim Sepang,Sepang,Selangor,0
G0020,Mukim Sepang,Sepang,Selangor,0
G0021,Mukim Sepang,Sepang,Selangor,0
G0022,Mukim Sepang,Sepang,Selangor,0
G0023,Mukim Sepang,Sepang,Selangor,0
G0024,Mukim Sepang,Sepang,Selangor,0
G0025,Mukim Sepang,Sepang,Selangor,18
G0026,Mukim Sepang,Sepang,Selangor,1110
G0027,Mukim Sepang,Sepang,Selangor,2155
G0028,Mukim Sepang,Sepang,Selangor,1065
G0029,Mukim Sepang,Sepang,Selangor,82
G0030,Mukim Sepang,Sepang,Selangor,17
G0031,Mukim Sepang,Sepang,Selangor,0
G0032,Mukim Sepang,Sepang,Selangor,0
G0033,Mukim Sepang,Sepang,Selangor,0
G0034,Mukim Sepang,Sepang,Selangor,303
G0035,Mukim Sepang,Sepang,Selangor,79
G0036,Mukim Sepang,Sepang,Selangor,0
G0037,Mukim Sepang,Sepang,Selangor,0
G0038,Mukim Sepang,Sepang,Selangor,0
G0039,Mukim Sepang,Sepang,Selangor,0
G0040,Mukim Sepang,Sepang,Selangor,391
G0041,Mukim Sepang,Sepang,Selangor,465
G0042,Mukim Sepang,Sepang,Selangor,79
G0043,Mukim Sepang,Sepang,Selangor,105
G0044,Pekan Sungai Pelek,Sepang,Selangor,856
G0045,Mukim Sepang,Sepang,Selangor,355
G0046,Mukim Sepang,Sepang,Selangor,0
G0047,Mukim Sepang,Sepang,Selangor,0
G0048,Mukim Sepang,Sepang,Selangor,75
G0049,Mukim Sepang,Sepang,Selangor,22
G0050,Mukim Sepang,Sepang,Selangor,228
G0051,Mukim Sepang,Sepang,Selangor,79
G0052,Mukim Sepang,Sepang,Selangor,4
G0053,Mukim Sepang,Sepang,Selangor,4
G0054,Mukim Sepang,Sepang,Selangor,224
G0055,Mukim Sepang,Sepang,Selangor,386
G0056,Mukim Sepang,Sepang,Selangor,557
G0057,Mukim Sepang,Sepang,Selangor,18
G0058,Mukim Sepang,Sepang,Selangor,136
G0059,Mukim Sepang,Sepang,Selangor,219
G0060,Pekan Sungai Pelek,Sepang,Selangor,2861
G0061,Pekan Sungai Pelek,Sepang,Selangor,2240
G0062,Mukim Sepang,Sepang,Selangor,54
G0063,Mukim Sepang,Sepang,Selangor,48
G0064,Mukim Sepang,Sepang,Selangor,75
G0065,Mukim Sepang,Sepang,Selangor,18
G0066,Mukim Sepang,Sepang,Selangor,48
G0067,Mukim Sepang,Sepang,Selangor,0
G0068,Mukim Sepang,Sepang,Selangor,0
G0069,Mukim Sepang,Sepang,Selangor,0
G0070,Mukim Sepang,Sepang,Selangor,241
G0071,Mukim Sepang,Sepang,Selangor,680
G0072,Mukim Sepang,Sepang,Selangor,1273
G0073,Mukim Sepang,Sepang,Selangor,0
G0074,Mukim Sepang,Sepang,Selangor,149
G0075,Mukim Sepang,Sepang,Selangor,281
G0076,Mukim Sepang,Sepang,Selangor,628
G0077,Mukim Sepang,Sepang,Selangor,470
G0078,Mukim Sepang,Sepang,Selangor,241
G0079,Mukim Sepang,Sepang,Selangor,364
G0080,Mukim Sepang,Sepang,Selangor,0
G0081,Mukim Sepang,Sepang,Selangor,189
G0082,Mukim Sepang,Sepang,Selangor,176
G0083,Mukim Sepang,Sepang,Selangor,145
G0084,Mukim Sepang,Sepang,Selangor,228
G0085,Mukim Sepang,Sepang,Selangor,0
G0086,Mukim Sepang,Sepang,Selangor,4
G0087,Mukim Sepang,Sepang,Selangor,4
G0088,Mukim Sepang,Sepang,Selangor,18
G0089,Mukim Sepang,Sepang,Selangor,900
G0090,Mukim Sepang,Sepang,Selangor,2036
G0091,Mukim Sepang,Sepang,Selangor,777
G0092,Mukim Sepang,Sepang,Selangor,180
G0093,Mukim Sepang,Sepang,Selangor,92
G0094,Mukim Sepang,Sepang,Selangor,0
G0095,Mukim Sepang,Sepang,Selangor,0
G0096,Mukim Sepang,Sepang,Selangor,395
G0097,Mukim Sepang,Sepang,Selangor,439
G0098,Mukim Sepang,Sepang,Selangor,4
G0099,Mukim Sepang,Sepang,Selangor,57
G0100,Mukim Sepang,Sepang,Selangor,97
G0101,Mukim Sepang,Sepang,Selangor,31
G0102,Mukim Sepang,Sepang,Selangor,0
G0103,Mukim Sepang,Sepang,Selangor,0
G0104,Mukim Sepang,Sepang,Selangor,0
G0105,Mukim Sepang,Sepang,Selangor,0
G0106,Mukim Sepang,Sepang,Selangor,9
G0107,Mukim Sepang,Sepang,Selangor,1602
G0108,Mukim Sepang,Sepang,Selangor,1277
G0109,Mukim Sepang,Sepang,Selangor,900
G0110,Mukim Sepang,Sepang,Selangor,162
G0111,Mukim Sepang,Sepang,Selangor,13
G0112,Mukim Sepang,Sepang,Selangor,0
G0113,Mukim Sepang,Sepang,Selangor,0
G0114,Mukim Sepang,Sepang,Selangor,562
G0115,Mukim Sepang,Sepang,Selangor,557
G0116,Mukim Sepang,Sepang,Selangor,0
G0117,Mukim Sepang,Sepang,Selangor,0
G0118,Mukim Sepang,Sepang,Selangor,0
G0119,Mukim Sepang,Sepang,Selangor,0
G0120,Mukim Sepang,Sepang,Selangor,0
G0121,Mukim Sepang,Sepang,Selangor,53
G0122,Mukim Sepang,Sepang,Selangor,9
G0123,Mukim Sepang,Sepang,Selangor,9
G0124,Mukim Sepang,Sepang,Selangor,272
G0125,Mukim Sepang,Sepang,Selangor,698
G0126,Mukim Sepang,Sepang,Selangor,1106
G0127,Mukim Sepang,Sepang,Selangor,1391
G0128,Mukim Sepang,Sepang,Selangor,465
G0129,Mukim Sepang,Sepang,Selangor,4
G0130,Mukim Sepang,Sepang,Selangor,0
G0131,Mukim Sepang,Sepang,Selangor,0
G0132,Mukim Sepang,Sepang,Selangor,53
G0133,Mukim Sepang,Sepang,Selangor,613
G0134,Mukim Sepang,Sepang,Selangor,155
G0135,Bandar Sepang,Sepang,Selangor,2
G0136,Mukim Sepang,Sepang,Selangor,0
G0137,Mukim Sepang,Sepang,Selangor,0
G0138,Mukim Sepang,Sepang,Selangor,0
G0139,Mukim Sepang,Sepang,Selangor,0
G0140,Mukim Sepang,Sepang,Selangor,4
G0141,Mukim Sepang,Sepang,Selangor,0
G0142,Mukim Sepang,Sepang,Selangor,0
G0143,Mukim Sepang,Sepang,Selangor,61
G0144,Mukim Sepang,Sepang,Selangor,171
G0145,Mukim Sepang,Sepang,Selangor,312
G0146,Mukim Sepang,Sepang,Selangor,505
G0147,Mukim Sepang,Sepang,Selangor,373
G0148,Mukim Sepang,Sepang,Selangor,22
G0149,Mukim Sepang,Sepang,Selangor,0
G0150,Mukim Sepang,Sepang,Selangor,0
G0151,Mukim Sepang,Sepang,Selangor,193
G0152,Mukim Sepang,Sepang,Selangor,742
G0153,Bandar Sepang,Sepang,Selangor,1248
G0154,Bandar Sepang,Sepang,Selangor,22
G0155,Mukim Sepang,Sepang,Selangor,0
G0156,Mukim Sepang,Sepang,Selangor,0
G0157,Mukim Sepang,Sepang,Selangor,0
G0158,Mukim Sepang,Sepang,Selangor,0
G0159,Mukim Sepang,Sepang,Selangor,0
G0160,Mukim Sepang,Sepang,Selangor,13
G0161,Mukim Sepang,Sepang,Selangor,9
G0162,Mukim Sepang,Sepang,Selangor,31
G0163,Mukim Sepang,Sepang,Selangor,132
G0164,Mukim Sepang,Sepang,Selangor,176
G0165,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,44
G0166,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0167,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0168,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0169,Mukim Sepang,Sepang,Selangor,0
G0170,Mukim Sepang,Sepang,Selangor,0
G0171,Mukim Sepang,Sepang,Selangor,83
G0172,Mukim Sepang,Sepang,Selangor,225
G0173,Mukim Sepang,Sepang,Selangor,44
G0174,Mukim Sepang,Sepang,Selangor,0
G0175,Mukim Sepang,Sepang,Selangor,0
G0176,Mukim Sepang,Sepang,Selangor,0
G0177,Mukim Sepang,Sepang,Selangor,0
G0178,Mukim Sepang,Sepang,Selangor,4
G0179,Mukim Sepang,Sepang,Selangor,0
G0180,Mukim Sepang,Sepang,Selangor,0
G0181,Mukim Sepang,Sepang,Selangor,22
G0182,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0183,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0184,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,18
G0185,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0186,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,26
G0187,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,4
G0188,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0189,Mukim Sepang,Sepang,Selangor,0
G0190,Mukim Sepang,Sepang,Selangor,224
G0191,Mukim Sepang,Sepang,Selangor,268
G0192,Mukim Sepang,Sepang,Selangor,4
G0193,Mukim Sepang,Sepang,Selangor,4
G0194,Mukim Sepang,Sepang,Selangor,0
G0195,Mukim Sepang,Sepang,Selangor,0
G0196,Mukim Sepang,Sepang,Selangor,0
G0197,Mukim Sepang,Sepang,Selangor,0
G0198,Mukim Sepang,Sepang,Selangor,0
G0199,Mukim Sepang,Sepang,Selangor,13
G0200,Mukim Sepang,Sepang,Selangor,0
G0201,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0202,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0203,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
G0204,Bandar Lapangan Terbang Antarabangsa Sepang,Sepang,Selangor,0
