cell_id,parent_mukim,district,state,population
G0000,Mukim Sepang,Sepang,Selangor,0
G0001,Mukim Sepang,Sepang,Selangor,53
G0002,Mukim Sepang,Sepang,Selangor,733
G0003,Mukim Sepang,Sepang,Selangor,645
G0004,Mukim Sepang,Sepang,Selangor,0
G0005,Mukim Sepang,Sepang,Selangor,0
G0006,Mukim Sepang,Sepang,Selangor,224
G0007,Mukim Sepang,Sepang,Selangor,816
G0008,Mukim Sepang,Sepang,Selangor,191
G0009,Mukim Sepang,Sepang,Selangor,0
G0010,Mukim Sepang,Sepang,Selangor,0
G0011,Mukim Sepang,Sepang,Selangor,0
G0012,Mukim Sepang,Sepang,Selangor,22
G0013,Mukim Sepang,Sepang,Selangor,193
G0014,Mukim Sepang,Sepang,Selangor,856
G0015,Mukim Sepang,Sepang,Selangor,1247
G0016,Mukim Sepang,Sepang,Selangor,25
G0017,Mukim Sepang,Sepang,Selangor,2
G0018,Mukim Sepang,Sepang,Selangor,0
G0019,Mukim Sepang,Sepang,Selangor,0
G0020,Mukim Sepang,Sepang,Selangor,0
G0021,Mukim Sepang,Sepang,Selangor,0
G0022,Mukim Sepang,Sepang,Selangor,0
G0023,Mukim Sepang,Sepang,Selangor,0
G0024,Mukim Sepang,Sepang,Selangor,0
G0025,Mukim Sepang,Sepang,Selangor,18
G0026,Mukim Sepang,Sepang,Selangor,1040
G0027,Mukim Sepang,Sepang,Selangor,2225
G0028,Mukim Sepang,Sepang,Selangor,1061
G0029,Mukim Sepang,Sepang,Selangor,86
G0030,Mukim Sepang,Sepang,Selangor,17
G0031,Mukim Sepang,Sepang,Selangor,0
G0032,Mukim Sepang,Sepang,Selangor,0
G0033,Mukim Sepang,Sepang,Selangor,0
G0034,Mukim Sepang,Sepang,Selangor,298
G0035,Mukim Sepang,Sepang,Selangor,83
G0036,Mukim Sepang,Sepang,Selangor,0
G0037,Mukim Sepang,Sepang,Selangor,0
G0038,Mukim Sepang,Sepang,Selangor,0
G0039,Mukim Sepang,Sepang,Selangor,0
G0040,Mukim Sepang,Sepang,Selangor,369
G0041,Mukim Sepang,Sepang,Selangor,487
G0042,Mukim Sepang,Sepang,Selangor,79
G0043,Mukim Sepang,Sepang,Selangor,105
G0044,Pekan Sungai Pelek,Sepang,Selangor,851
G0045,Mukim Sepang,Sepang,Selangor,360
G0046,Mukim Sepang,Sepang,Selangor,0
G0047,Mukim Batu,Kuala Langat,Selangor,68
G0048,Mukim Batu,Kuala Langat,Selangor,23
G0049,Mukim Sepang,Sepang,Selangor,75
G0050,Mukim Sepang,Sepang,Selangor,22
G0051,Mukim Sepang,Sepang,Selangor,228
G0052,Mukim Sepang,Sepang,Selangor,79
G0053,Mukim Sepang,Sepang,Selangor,4
G0054,Mukim Sepang,Sepang,Selangor,4
G0055,Mukim Sepang,Sepang,Selangor,224
G0056,Mukim Sepang,Sepang,Selangor,386
G0057,Mukim Sepang,Sepang,Selangor,557
G0058,Mukim Sepang,Sepang,Selangor,9
G0059,Mukim Sepang,Sepang,Selangor,140
G0060,Mukim Sepang,Sepang,Selangor,224
G0061,Pekan Sungai Pelek,Sepang,Selangor,2747
G0062,Pekan Sungai Pelek,Sepang,Selangor,2341
G0063,Mukim Sepang,Sepang,Selangor,67
G0064,Bandar Tanjong Sepat,Kuala Langat,Selangor,77
G0065,Mukim Batu,Kuala Langat,Selangor,204
G0066,Mukim Batu,Kuala Langat,Selangor,384
G0067,Mukim Batu,Kuala Langat,Selangor,185
G0068,Mukim Batu,Kuala Langat,Selangor,466
G0069,Mukim Sepang,Sepang,Selangor,75
G0070,Mukim Sepang,Sepang,Selangor,18
G0071,Mukim Sepang,Sepang,Selangor,48
G0072,Mukim Sepang,Sepang,Selangor,0
G0073,Mukim Sepang,Sepang,Selangor,0
G0074,Mukim Sepang,Sepang,Selangor,0
G0075,Mukim Sepang,Sepang,Selangor,241
G0076,Mukim Sepang,Sepang,Selangor,654
G0077,Mukim Sepang,Sepang,Selangor,1299
G0078,Mukim Sepang,Sepang,Selangor,0
G0079,Mukim Sepang,Sepang,Selangor,145
G0080,Mukim Sepang,Sepang,Selangor,285
G0081,Mukim Sepang,Sepang,Selangor,623
G0082,Mukim Sepang,Sepang,Selangor,465
G0083,Mukim Sepang,Sepang,Selangor,250
G0084,Mukim Sepang,Sepang,Selangor,364
G0085,Mukim Sepang,Sepang,Selangor,0
G0086,Mukim Batu,Kuala Langat,Selangor,0
G0087,Mukim Batu,Kuala Langat,Selangor,15
G0088,Mukim Batu,Kuala Langat,Selangor,299
G0089,Bandar Tanjong Sepat,Kuala Langat,Selangor,1329
G0090,Bandar Tanjong Sepat,Kuala Langat,Selangor,975
G0091,Mukim Batu,Kuala Langat,Selangor,259
G0092,Mukim Batu,Kuala Langat,Selangor,287
G0093,Mukim Batu,Kuala Langat,Selangor,305
G0094,Mukim Sepang,Sepang,Selangor,176
G0095,Mukim Sepang,Sepang,Selangor,145
G0096,Mukim Sepang,Sepang,Selangor,228
G0097,Mukim Sepang,Sepang,Selangor,0
G0098,Mukim Sepang,Sepang,Selangor,4
G0099,Mukim Sepang,Sepang,Selangor,4
G0100,Mukim Sepang,Sepang,Selangor,18
G0101,Mukim Sepang,Sepang,Selangor,847
G0102,Mukim Sepang,Sepang,Selangor,2045
G0103,Mukim Sepang,Sepang,Selangor,821
G0104,Mukim Sepang,Sepang,Selangor,180
G0105,Mukim Sepang,Sepang,Selangor,92
G0106,Mukim Sepang,Sepang,Selangor,0
G0107,Mukim Sepang,Sepang,Selangor,0
G0108,Mukim Sepang,Sepang,Selangor,386
G0109,Mukim Sepang,Sepang,Selangor,448
G0110,Mukim Sepang,Sepang,Selangor,4
G0111,Mukim Batu,Kuala Langat,Selangor,27
G0112,Mukim Batu,Kuala Langat,Selangor,197
G0113,Mukim Batu,Kuala Langat,Selangor,416
G0114,Mukim Batu,Kuala Langat,Selangor,703
G0115,Mukim Batu,Kuala Langat,Selangor,62
G0116,Mukim Batu,Kuala Langat,Selangor,439
G0117,Mukim Batu,Kuala Langat,Selangor,182
G0118,Mukim Batu,Kuala Langat,Selangor,102
G0119,Mukim Batu,Kuala Langat,Selangor,187
G0120,Mukim Batu,Kuala Langat,Selangor,443
G0121,Mukim Sepang,Sepang,Selangor,101
G0122,Mukim Sepang,Sepang,Selangor,31
G0123,Mukim Sepang,Sepang,Selangor,0
G0124,Mukim Sepang,Sepang,Selangor,0
G0125,Mukim Sepang,Sepang,Selangor,0
G0126,Mukim Sepang,Sepang,Selangor,0
G0127,Mukim Sepang,Sepang,Selangor,9
G0128,Mukim Sepang,Sepang,Selangor,1554
G0129,Mukim Sepang,Sepang,Selangor,1308
G0130,Mukim Sepang,Sepang,Selangor,904
G0131,Mukim Sepang,Sepang,Selangor,176
G0132,Mukim Sepang,Sepang,Selangor,13
G0133,Mukim Sepang,Sepang,Selangor,0
G0134,Mukim Sepang,Sepang,Selangor,0
G0135,Mukim Sepang,Sepang,Selangor,535
G0136,Mukim Sepang,Sepang,Selangor,584
G0137,Mukim Sepang,Sepang,Selangor,0
G0138,Mukim Batu,Kuala Langat,Selangor,65
G0139,Pekan Batu,Kuala Langat,Selangor,347
G0140,Mukim Batu,Kuala Langat,Selangor,900
G0141,Mukim Batu,Kuala Langat,Selangor,561
G0142,Mukim Batu,Kuala Langat,Selangor,863
G0143,Mukim Batu,Kuala Langat,Selangor,943
G0144,Mukim Batu,Kuala Langat,Selangor,17
G0145,Mukim Batu,Kuala Langat,Selangor,810
G0146,Mukim Batu,Kuala Langat,Selangor,451
G0147,Mukim Batu,Kuala Langat,Selangor,105
G0148,Mukim Batu,Kuala Langat,Selangor,97
G0149,Mukim Batu,Kuala Langat,Selangor,77
G0150,Mukim Sepang,Sepang,Selangor,0
G0151,Mukim Sepang,Sepang,Selangor,0
G0152,Mukim Sepang,Sepang,Selangor,0
G0153,Mukim Sepang,Sepang,Selangor,53
G0154,Mukim Sepang,Sepang,Selangor,9
G0155,Mukim Sepang,Sepang,Selangor,9
G0156,Mukim Sepang,Sepang,Selangor,272
G0157,Mukim Sepang,Sepang,Selangor,636
G0158,Mukim Sepang,Sepang,Selangor,1123
G0159,Mukim Sepang,Sepang,Selangor,1391
G0160,Mukim Sepang,Sepang,Selangor,509
G0161,Mukim Sepang,Sepang,Selangor,4
G0162,Mukim Sepang,Sepang,Selangor,0
G0163,Mukim Sepang,Sepang,Selangor,0
G0164,Mukim Sepang,Sepang,Selangor,53
G0165,Mukim Sepang,Sepang,Selangor,595
G0166,Mukim Sepang,Sepang,Selangor,174
G0167,Bandar Sepang,Sepang,Selangor,2
G0168,Mukim Batu,Kuala Langat,Selangor,10
G0169,Mukim Batu,Kuala Langat,Selangor,289
G0170,Mukim Batu,Kuala Langat,Selangor,494
G0171,Mukim Batu,Kuala Langat,Selangor,369
G0172,Mukim Batu,Kuala Langat,Selangor,583
G0173,Mukim Batu,Kuala Langat,Selangor,416
G0174,Mukim Batu,Kuala Langat,Selangor,257
G0175,Mukim Batu,Kuala Langat,Selangor,7
G0176,Mukim Batu,Kuala Langat,Selangor,22
G0177,Mukim Batu,Kuala Langat,Selangor,30
G0178,Mukim Batu,Kuala Langat,Selangor,42
G0179,Mukim Batu,Kuala Langat,Selangor,20
G0180,Mukim Batu,Kuala Langat,Selangor,5
G0181,Mukim Batu,Kuala Langat,Selangor,0
G0182,Mukim Sepang,Sepang,Selangor,0
G0183,Mukim Sepang,Sepang,Selangor,0
G0184,Mukim Sepang,Sepang,Selangor,0
G0185,Mukim Sepang,Sepang,Selangor,4
G0186,Mukim Sepang,Sepang,Selangor,0
G0187,Mukim Sepang,Sepang,Selangor,0
G0188,Mukim Sepang,Sepang,Selangor,61
G0189,Mukim Sepang,Sepang,Selangor,158
G0190,Mukim Sepang,Sepang,Selangor,303
G0191,Mukim Sepang,Sepang,Selangor,509
G0192,Mukim Sepang,Sepang,Selangor,386
G0193,Mukim Sepang,Sepang,Selangor,26
G0194,Mukim Sepang,Sepang,Selangor,0
G0195,Mukim Sepang,Sepang,Selangor,0
G0196,Mukim Sepang,Sepang,Selangor,184
G0197,Mukim Sepang,Sepang,Selangor,733
G0198,Bandar Sepang,Sepang,Selangor,1266
G0199,Bandar Sepang,Sepang,Selangor,22
G0200,Mukim Morib,Kuala Langat,Selangor,7
G0201,Mukim Batu,Kuala Langat,Selangor,59
G0202,Mukim Batu,Kuala Langat,Selangor,189
G0203,Mukim Batu,Kuala Langat,Selangor,227
G0204,Mukim Batu,Kuala Langat,Selangor,137
G0205,Mukim Batu,Kuala Langat,Selangor,7
G0206,Mukim Batu,Kuala Langat,Selangor,5
G0207,Mukim Batu,Kuala Langat,Selangor,0
G0208,Mukim Batu,Kuala Langat,Selangor,0
G0209,Mukim Batu,Kuala Langat,Selangor,0
