cell_id,parent_mukim,district,state,population
G0000,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0001,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0002,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0003,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0004,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0005,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0006,Pangkalan Ampat Land District,Kuching,Sarawak,3
G0007,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0008,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0009,Pangkalan Ampat Land District,Kuching,Sarawak,6
G0010,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0011,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0012,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0013,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0014,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0015,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0016,Pangkalan Ampat Land District,Kuching,Sarawak,8
G0017,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0018,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0019,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0020,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0021,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0022,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0023,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0024,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0025,Pangkalan Ampat Land District,Kuching,Sarawak,3
G0026,Pangkalan Ampat Land District,Kuching,Sarawak,145
G0027,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0028,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0029,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0030,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0031,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0032,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0033,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0034,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0035,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0036,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0037,Pangkalan Ampat Land District,Kuching,Sarawak,78
G0038,Pangkalan Ampat Land District,Kuching,Sarawak,95
G0039,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0040,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0041,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0042,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0043,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0044,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0045,Pangkalan Ampat Land District,Kuching,Sarawak,3
G0046,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0047,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0048,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0049,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0050,Pangkalan Ampat Land District,Kuching,Sarawak,333
G0051,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0052,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0053,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0054,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0055,Pangkalan Ampat Land District,Kuching,Sarawak,0
G0056,Pangkalan Ampat Land District,Kuching,Sarawak,31
G0057,Pangkalan Ampat Land District,Kuching,Sarawak,73
