cell_id,parent_mukim,district,state,population
G0000,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0001,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,403
G0002,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,273
G0003,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,394
G0004,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,117
G0005,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,172
G0006,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,96
G0007,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,34
G0008,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,34
G0009,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0010,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,214
G0011,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,417
G0012,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,476
G0013,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,386
G0014,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,347
G0015,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,554
G0016,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,102
G0017,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1283
G0018,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2833
G0019,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2580
G0020,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,648
G0021,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0022,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0023,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0024,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,908
G0025,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,811
G0026,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1407
G0027,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,729
G0028,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,620
G0029,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1155
G0030,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,717
G0031,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2708
G0032,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2348
G0033,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,962
G0034,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2143
G0035,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,241
G0036,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,23
G0037,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,19
G0038,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0039,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0040,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0041,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0042,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,495
G0043,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,803
G0044,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,148
G0045,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,386
G0046,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,379
G0047,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1208
G0048,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1538
G0049,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,663
G0050,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2048
G0051,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1168
G0052,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,616
G0053,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,263
G0054,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,209
G0055,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,13
G0056,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,0
G0057,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,13
G0058,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,23
G0059,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1189
G0060,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,784
G0061,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,374
G0062,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,252
G0063,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,148
G0064,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,1072
G0065,Seberang Perai Selatan,Seberang Perai Selatan,Pulau Pinang,2436
