cell_id,parent_mukim,district,state,population
G0000,Mukim Pulai,Johor Bahru,Johor,0
G0001,Mukim Pulai,Johor Bahru,Johor,0
G0002,Mukim Pulai,Johor Bahru,Johor,89
G0003,Mukim Pulai,Johor Bahru,Johor,80
G0004,Mukim Pulai,Johor Bahru,Johor,0
G0005,Mukim Pulai,Johor Bahru,Johor,0
G0006,Mukim Pulai,Johor Bahru,Johor,129
G0007,Mukim Pulai,Johor Bahru,Johor,10
G0008,Mukim Pulai,Johor Bahru,Johor,736
G0009,Mukim Pulai,Johor Bahru,Johor,418
G0010,Mukim Pulai,Johor Bahru,Johor,0
G0011,Mukim Pulai,Johor Bahru,Johor,716
G0012,Mukim Pulai,Johor Bahru,Johor,986
G0013,Mukim Pulai,Johor Bahru,Johor,240
G0014,Mukim Pulai,Johor Bahru,Johor,1631
G0015,Mukim Pulai,Johor Bahru,Johor,3927
G0016,Mukim Pulai,Johor Bahru,Johor,587
G0017,Mukim Pulai,Johor Bahru,Johor,0
G0018,Mukim Pulai,Johor Bahru,Johor,0
G0019,Mukim Pulai,Johor Bahru,Johor,666
G0020,Mukim Pulai,Johor Bahru,Johor,2277
G0021,Mukim Pulai,Johor Bahru,Johor,2526
G0022,Mukim Pulai,Johor Bahru,Johor,1104
G0023,Mukim Pulai,Johor Bahru,Johor,388
G0024,Mukim Pulai,Johor Bahru,Johor,994
G0025,Mukim Pulai,Johor Bahru,Johor,0
G0026,Mukim Pulai,Johor Bahru,Johor,0
G0027,Mukim Pulai,Johor Bahru,Johor,0
G0028,Mukim Pulai,Johor Bahru,Johor,318
G0029,Mukim Pulai,Johor Bahru,Johor,2138
G0030,Mukim Pulai,Johor Bahru,Johor,2466
G0031,Mukim Pulai,Johor Bahru,Johor,3500
G0032,Mukim Pulai,Johor Bahru,Johor,1859
G0033,Mukim Pulai,Johor Bahru,Johor,89
G0034,Mukim Pulai,Johor Bahru,Johor,0
G0035,Mukim Pulai,Johor Bahru,Johor,2307
G0036,Mukim Pulai,Johor Bahru,Johor,1044
G0037,Mukim Pulai,Johor Bahru,Johor,0
G0038,Mukim Pulai,Johor Bahru,Johor,0
G0039,Mukim Pulai,Johor Bahru,Johor,368
G0040,Mukim Pulai,Johor Bahru,Johor,825
G0041,Mukim Pulai,Johor Bahru,Johor,2098
G0042,Mukim Pulai,Johor Bahru,Johor,3937
G0043,Mukim Pulai,Johor Bahru,Johor,2118
G0044,Mukim Pulai,Johor Bahru,Johor,3033
G0045,Mukim Pulai,Johor Bahru,Johor,1462
